recipe_name,description,ingredients,methods
"
                Stir-fry Efo
            ","
                    This stir-fry efo recipe combines a variety of mouth-watering ingredients so you can enjoy many flavours all in a one-pot meal. With favourites like chicken, shrimp, roasted fish and kpomo in the mix, you’re certainly in for a treat. Serve with rice, pasta or any swallow of your choice.
                ","
                ,4 large pieces of roasted fish (kpanla),
1 medium bunch of tete (green vegetable),
1 medium bunch of spinach,
4 pieces turkey/chicken,
                ,10 pieces medium size shrimp,
2 large pieces of kpomo (cow skin),
1 cooking spoon ground crayfish,
3 pieces fresh pepper (rhodo),
                ,1 medium size onion,
4 cloves garlic,
1 cooking spoon groundnut oil,
Seasoning/salt to taste","Cut, wash and sieve the vegetables.,
,Debone the roasted fish, wash and set aside.,
,Spice and fry the turkey.,
,Cut the kpomo into small pieces.,
,Cut the onion, garlic and fresh pepper.,
,Pour some oil into the frying pan, add the garlic, pepper, roasted fish, kpomo and shrimp. Stir for 5 minutes.,
,Add the ground crayfish, seasoning and salt, stir and add the vegetables.,
,Stir for 2 minutes and remove from the heat."
"
                Vegetable Pasta Wrapped in Cabbage
            ","
                    If you’re looking for pasta recipes with a healthy spin, give this one a try and make your next lunch an extra special one. Its tomato and pepper base is delicious alongside the beef strips, while tasty veggies add an extra boost of nutrition to the meal. Serve with your favourite chilled drink and enjoy!
                ","
                ,6 medium pieces boiled beef,
2 cups pasta of choice,
4 medium strong fresh tomatoes,
1 medium fresh chopped pepper (rodo),
,
                ,1 cup sliced carrots,
3 medium green peppers, diced,
1 cooking spoon spring onions, chopped,
1 cooking spoon green peas,
                ,1 tbsp. ground crayfish,
1 cooking spoon groundnut oil,
1 medium onion,
Seasoning/salt to taste","Cut the beef into small pieces.,
,Boil the pasta with a little bit of salt, then rinse with cold water and set aside.,
,Boil the carrot slices for 2 minutes, drain and set aside.,
,In a clean pan, pour the groundnut oil, add the beef and fry for 3 minutes (keep stirring to prevent burning).,
,Add the carrot, green pepper, rodo, spring onion, green peas and onions. Stir for 2 minutes.,
,Add the crayfish and season to taste.,
,Add the pasta and stir for 2 minutes. Add the fresh tomatoes and stir.,
,Serve with a chilled drink."
"
                Waterleaf Soup
            ","
                    Who doesn’t enjoy wholesome comfort food? Try this waterleaf soup recipe and serve with your favourite swallow for the ultimate homestyle meal. It’s absolutely delicious all year-round, but goes down especially well for dinner on a winter’s night in.
                ","
                ,10 medium pieces assorted meat,
4 medium yellow peppers,
4 medium dry/roasted fish,
3 medium pieces of pomo (cow skin),
                ,½ cup crayfish,
2 cooking spoons palm oil,
3 cups waterleaf, washed and shredded,
                ,½ cooking spoon bitter leaf, washed,
Seasoning/salt to taste","Blend the yellow pepper and crayfish into a mixture, set aside.,
,Wash the roasted fish and pomo in warm water, then set aside.,
,Wash, spice and boil the meat until tender.,
,Add the roasted fish and pomo to the meat in the pot and boil for 5 minutes (allow the water to almost dry up).,
,Add the blended mixture to the meat, stir, then add the palm oil and boil for 2 minutes.,
,Add the bitter leaf and the waterleaf. Cook for 2 minutes, stir and taste for seasoning.,
"
"
                Spiced Mojito
            ","
                    A cool, crisp, summery blend of rum, mint, lime and soda – the Spiced Mojito is a version of the classic Cuban cocktail with a subtle piquancy thanks to a base of Captain Morgan Original Spiced Gold.
                ","
                ,50 ml Captain Morgan Original Spiced Gold,
100 ml soda water,
,
,
                ,25 ml sugar syrup,
2 lime wedges,
7 mint leaves,
                ,1 mint sprig,
Crushed ice","Add mint and lime to a glass.,
,Pour in sugar syrup.,
,Muddle the ingredients.,
,Add crushed ice.,
,Pour in Captain Morgan Original Spiced Gold and soda water.,
,Stir, add more crushed ice and garnish with mint.,
,
"
"
                Beef Courgette and Egg Bake
            ","
                    This recipe is more textured and adapted from a family meal. Babies can easily tolerate this type of texture and these flavours from 7 months. The earlier you start with this type of texture the easier your baby will adapt. This recipe is full of protein, vitamins and iron!
                ","
                ,1 free-range egg yolk,
¼ cup full-cream milk,
                ,½ cup minced beef,
½ cup grated courgette,
                ,A pinch of fresh, chopped parsley","Preheat the oven to 180 °C.,
,Beat together the egg yolk and milk.,
,Add the mince, courgette and parsley and mix to combine.,
,Pour into a small, greased, ovenproof dish, then stand in a basin of shallow water and bake bain- marie style for 15 min.,
,Turn out onto a plate and serve."
"
                Purée De Noyer Cendré Et Courgette
            ","
                    Ce repas haut en couleur est un plat nutritif, facile à préparer et qui se conserve bien au frais ! Il s’agit d’une recette pour commencer le sevrage de votre bébé de façon agréable. Ce plat est riche en bêta-carotène, qui est important pour le développement des yeux, ainsi que la formation d’un système immunitaire sain.
                ","
                ,1 tasse de noyers cendrés pelés et coupés en dés,
                ,1 courgette coupée en dés,
                ,60 ml de cannelle","Cuire la courgette et les noyers cendrés à la vapeur pendant 10 à 15 min, ou jusqu’à ce qu’ils ramollissent.,
,Retirer du feu. Piler ou passer au mixeur.,
,Conserver le mélange au frais dans des glaçons de 15 ml."
"
                Fruit Custard
            ","
                    This recipe is easy to make and is high in omega 3 and calcium. Due to the milky nature of this recipe it is well accepted by babies of all ages.
                ","
                ,2 tsp. breast milk, formula or full-cream milk,
                ,1 free-range egg yolk,
                ,½ banana","Preheat the oven to 120 °C.,
,Mash the banana with the egg yolk and milk.,
,Pour into a small, greased, ovenproof dish.,
,Stand in a basin of shallow water and bake bain-marie style for 20 min."
"
                Sweet Potato Carrot and Broccoli Puree
            ","
                    A delicious veggie purée that baby will love. Once cooked, spoon this delicious and nutritious meal into ice-cube trays for freezing and later use.
                ","
                ,300 g orange-fleshed sweet potato,
                ,1 large carrot; peeled and sliced,
                ,1 cup broccoli","Place the sweet potato and carrot in a steamer basket over a saucepan of simmering water.,
,Cook for 10 min. or until tender.,
,Add the broccoli and cook for 5 min. or until the vegetables are tender.,
,Process the sweet potato mixture in a food processor until smooth.,
,Serve warm.,
,Alternatively mash the vegetables together to create a chunkier texture to help baby get used to different textures.,
,Serve to baby warm.,
,Spoon the remaining amount into ice-cube trays for freezing and later use."
"
                Coffee Bundt Cake
            ","
                    A darkly decadent dessert, this Coffee Bundt Cake will brighten any celebration.
                ","
                ,
1 cup water,
125 g butter; softened and cubed,
1/3 cup cocoa,
2 tsp. instant coffee powder,
2 cups flour,
                ,1 tsp. bicarbonate of soda,
½ tsp. salt,
2 cups caster sugar,
2 eggs; at room temperature,
½ cup buttermilk,
1 tsp. vanilla extract,
                ,
150 g dark chocolate,
150 ml cream,
½ cup icing sugar","Preheat oven to 160 °C.,
,Grease a bundt pan well.,
,Place the water, butter, cocoa & coffee in a saucepan, and stir over medium heat until the butter has melted & then set aside.,
,Sift the flour, bicarbonate and salt together and stir in the sugar.,
,Add the butter mixture to the flour and whisk until combined.,
,Add the eggs, buttermilk and vanilla and whisk until well combined.,
,Pour into the bundt pan and bake for about 45 min. or until a skewer inserted into the cake comes out clean.,
,Allow the cake to cool in the tin for 15 min. and then carefully turn out on a wire rack to cool completely.,
,To make the dark chocolate ganache glaze, place the chocolate & cream in a small saucepan over low heat. Stir until melted & smooth.,
,Sift the icing sugar over the mixture and mix well.,
,Add more icing sugar if the glaze is too thin. When you have a thick pouring consistency, gently spoon over the cake to slowly run over the sides."
"
                Coffee Walnut Trifle
            ","
                    Indulge in trifle with a decadent twist with this creamy dessert from Jenny Morris. Dust with chocolate powder before serving! (Serves 8)
                ","
                ,2 cups strong, black filter coffee; cooled (try the Foreign Ground range from the Shoprite Coffee Collection),
½ cup whisky; or more if you’re feeling brave (visit The House of Fine Whisky at Checkers LiquorShop),
4 eggs; separated,
¼ cup castor sugar,
                ,500 g mascarpone cheese,
1 cup cream; whipped,
1 packet finger biscuits,
1 cup maraschino glacé or fresh cherries (if in season); halved,
1 cup toasted walnuts; roughly chopped,
                ,2 tsp. dark cocoa powder,
375 ml cream,
,
,
For the chocolate ganache you’ll need:,
200 g dark chocolate","Place the chocolate pieces in a large bowl.,
,Heat the cream on medium heat until it comes to a boil.,
,Remove from heat and immediately pour cream over chocolate and stir until completely mixed and glossy and able to cover the back of spoon. Leave to reach room temperature.,
,Combine the coffee and whisky in a pouring jug.,
,Then, in a separate bowl, beat the egg yolks and sugar with an electric beater for about 3 min, until mixture is thick and pale.,
,Now add the mascarpone and beat until just combined.,
,Use a metal spoon to fold in the whipped cream.,
,In another bowl, beat the egg whites until they form soft peaks.,
,Fold quickly and lightly into cream mixture with a metal spoon.,
,Place one layer of the finger biscuits in the base of the glasses (break them if need be), wet the biscuits with the whisky-coffee mixture and spoon in a layer of the mascarpone cream mixture.,
,Now spread a layer of cherries, chocolate and walnuts over that and a spoonful of ganache.,
,Repeat the layering of the biscuits, mascarpone, chocolate, nuts, cherries and ganache.,
,Finish off with a layer of mascarpone cream, which you can also pipe on with a piping bag or just spoon onto the top dust with cocoa powder and serve.,
"
